WeekDate,Milking,Dry,LACT>0,%M,NewIn,Left,LACT>1,LACT=1,LACT=0,Total Animals,Avg Milk,Total CWT
10/17/2020,2108,245,2353,90,0,2,1488,865,2108,4461,77,1616
10/24/2020,2112,264,2376,89,3,11,1498,878,2107,4483,76,1612
10/31/2020,2103,277,2380,88,0,31,1502,878,2108,4488,76,1606
11/7/2020,2095,295,2390,88,0,35,1498,892,2092,4482,77,1607
11/14/2020,2066,322,2388,87,0,43,1500,888,2089,4477,78,1607
11/21/2020,2078,321,2399,87,1,18,1507,892,2100,4499,77,1610
11/28/2020,2104,303,2407,87,0,24,1510,897,2116,4523,77,1617
12/5/2020,2122,279,2401,88,0,37,1519,882,2133,4534,78,1659
12/12/2020,2143,267,2410,89,0,29,1520,890,2123,4533,79,1689
12/19/2020,2180,252,2432,90,0,23,1533,899,2139,4571,78,1697
12/26/2020,2189,235,2424,90,0,24,1526,898,2143,4567,79,1726
1/2/2021,2216,216,2432,91,0,12,1552,880,2159,4591,80,1764
1/9/2021,2228,191,2419,92,0,29,1553,866,2172,4591,80,1784
1/16/2021,2244,177,2421,93,0,30,1550,871,2163,4584,80,1791
1/23/2021,2251,181,2432,93,0,19,1554,878,2163,4595,79,1778
1/30/2021,2250,177,2427,93,0,16,1552,875,2173,4600,80,1799
2/6/2021,2226,193,2419,92,0,37,1547,872,2167,4586,80,1790
2/13/2021,2229,182,2411,92,0,22,1540,871,2181,4592,80,1782
2/20/2021,2238,171,2409,93,0,30,1535,874,2178,4587,80,1782
2/27/2021,2249,169,2418,93,0,23,1536,882,2176,4594,79,1788
3/6/2021,2241,173,2414,93,0,28,1525,889,2170,4584,80,1803
3/13/2021,2239,178,2417,93,0,11,1529,888,2182,4599,80,1790
3/20/2021,2252,177,2429,93,0,8,1539,890,2186,4615,81,1821
3/27/2021,2252,161,2413,93,0,30,1529,884,2198,4611,80,1804
4/3/2021,2249,167,2416,93,0,13,1528,888,2199,4615,80,1797
4/10/2021,2233,192,2425,92,0,8,1532,893,2207,4632,82,1839
4/17/2021,2224,192,2416,92,0,24,1529,887,2207,4623,83,1846
4/24/2021,2236,191,2427,92,0,16,1533,894,2219,4646,81,1805
5/1/2021,2205,229,2434,91,0,26,1536,898,2204,4638,80,1760
5/8/2021,2180,245,2425,90,0,36,1522,903,2205,4630,81,1767
5/15/2021,2223,221,2444,91,0,10,1528,916,2210,4654,80,1778
5/22/2021,2226,216,2442,91,0,25,1530,912,2209,4651,80,1772
5/29/2021,2229,198,2427,92,0,26,1533,894,2222,4649,79,1761
6/5/2021,2208,227,2435,91,0,7,1541,894,2226,4661,79,1737
6/12/2021,2192,250,2442,90,0,11,1544,898,2221,4663,78,1716
6/19/2021,2170,273,2443,89,0,16,1546,897,2225,4668,78,1684
6/26/2021,2151,280,2431,88,0,25,1540,891,2220,4651,79,1689
7/3/2021,2115,308,2423,87,0,21,1536,887,2229,4652,79,1678
7/10/2021,2084,341,2425,86,0,10,1547,878,2240,4665,78,1632
7/17/2021,2110,324,2434,87,0,12,1564,870,2253,4687,77,1620
7/24/2021,2110,320,2430,87,0,19,1559,871,2261,4691,77,1626
7/31/2021,2136,311,2447,87,0,8,1578,869,2274,4721,76,1625
8/7/2021,2124,313,2437,87,0,24,1582,855,2277,4714,77,1636
8/14/2021,2123,306,2429,87,0,30,1588,841,2293,4722,76,1614
8/21/2021,2128,309,2437,87,0,20,1595,842,2296,4733,75,1591
8/28/2021,2137,303,2440,88,0,65,1593,847,2263,4703,75,1594
9/4/2021,2132,314,2446,87,0,23,1595,851,2267,4713,75,1598
9/11/2021,2131,309,2440,87,0,23,1583,857,2274,4714,75,1594
9/18/2021,2138,293,2431,88,0,31,1586,845,2285,4716,74,1593
