location_lact_list,Lactation Group,date_time_period_start,date_time_period_end,ct_animal_days_elig,days_in_time_period,deno_type,dop_start,dop_end,dop_in_interval,dop_complete,day_of_phase_group,metric,ct
Herd 2108e,Heifer,2020-10-05,2021-10-06,1351356,366,lact_basic,NA,NA,NA,NA,NA to NA,ct_animal_lactations,7056
Herd 2108e,Heifer,2020-10-05,2021-10-06,1351356,366,lact_basic,NA,NA,NA,NA,NA to NA,ct_animals,7056
Herd 2108e,Heifer,2020-10-05,2021-10-06,1351356,366,lact_basic,NA,NA,NA,NA,NA to NA,ct_animal_time_periods,3692.2295081967213
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,1225754,366,lact_basic,NA,NA,NA,NA,NA to NA,ct_animal_lactations,7323
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,1225754,366,lact_basic,NA,NA,NA,NA,NA to NA,ct_animals,4816
Herd 2108e,LACT > 0,2020-10-05,2021-10-06,1225754,366,lact_basic,NA,NA,NA,NA,NA to NA,ct_animal_time_periods,3349.054644808743
Herd 2108e,Heifer,2020-10-05,2021-10-06,1351356,366,lact_2+,NA,NA,NA,NA,NA to NA,ct_animal_lactations,7056
Herd 2108e,Heifer,2020-10-05,2021-10-06,1351356,366,lact_2+,NA,NA,NA,NA,NA to NA,ct_animals,7056
Herd 2108e,Heifer,2020-10-05,2021-10-06,1351356,366,lact_2+,NA,NA,NA,NA,NA to NA,ct_animal_time_periods,3692.2295081967213
Herd 2108e,LACT 1,2020-10-05,2021-10-06,518872,366,lact_2+,NA,NA,NA,NA,NA to NA,ct_animal_lactations,3014
Herd 2108e,LACT 1,2020-10-05,2021-10-06,518872,366,lact_2+,NA,NA,NA,NA,NA to NA,ct_animals,3014
Herd 2108e,LACT 1,2020-10-05,2021-10-06,518872,366,lact_2+,NA,NA,NA,NA,NA to NA,ct_animal_time_periods,1417.6830601092897
Herd 2108e,LACT 2+,2020-10-05,2021-10-06,706882,366,lact_2+,NA,NA,NA,NA,NA to NA,ct_animal_lactations,4309
Herd 2108e,LACT 2+,2020-10-05,2021-10-06,706882,366,lact_2+,NA,NA,NA,NA,NA to NA,ct_animals,3014
Herd 2108e,LACT 2+,2020-10-05,2021-10-06,706882,366,lact_2+,NA,NA,NA,NA,NA to NA,ct_animal_time_periods,1931.3715846994535
Herd 2108e,Heifer,2020-10-05,2021-10-06,1351356,366,lact_3+,NA,NA,NA,NA,NA to NA,ct_animal_lactations,7056
Herd 2108e,Heifer,2020-10-05,2021-10-06,1351356,366,lact_3+,NA,NA,NA,NA,NA to NA,ct_animals,7056
Herd 2108e,Heifer,2020-10-05,2021-10-06,1351356,366,lact_3+,NA,NA,NA,NA,NA to NA,ct_animal_time_periods,3692.2295081967213
Herd 2108e,LACT 1,2020-10-05,2021-10-06,518872,366,lact_3+,NA,NA,NA,NA,NA to NA,ct_animal_lactations,3014
Herd 2108e,LACT 1,2020-10-05,2021-10-06,518872,366,lact_3+,NA,NA,NA,NA,NA to NA,ct_animals,3014
Herd 2108e,LACT 1,2020-10-05,2021-10-06,518872,366,lact_3+,NA,NA,NA,NA,NA to NA,ct_animal_time_periods,1417.6830601092897
Herd 2108e,LACT 2,2020-10-05,2021-10-06,368777,366,lact_3+,NA,NA,NA,NA,NA to NA,ct_animal_lactations,2142
Herd 2108e,LACT 2,2020-10-05,2021-10-06,368777,366,lact_3+,NA,NA,NA,NA,NA to NA,ct_animals,2142
Herd 2108e,LACT 2,2020-10-05,2021-10-06,368777,366,lact_3+,NA,NA,NA,NA,NA to NA,ct_animal_time_periods,1007.5874316939891
Herd 2108e,LACT 3+,2020-10-05,2021-10-06,338105,366,lact_3+,NA,NA,NA,NA,NA to NA,ct_animal_lactations,2167
Herd 2108e,LACT 3+,2020-10-05,2021-10-06,338105,366,lact_3+,NA,NA,NA,NA,NA to NA,ct_animals,1570
Herd 2108e,LACT 3+,2020-10-05,2021-10-06,338105,366,lact_3+,NA,NA,NA,NA,NA to NA,ct_animal_time_periods,923.7841530054645
Herd 2108e,Heifer,2020-10-05,2021-10-06,1351356,366,lact_5+,NA,NA,NA,NA,NA to NA,ct_animal_lactations,7056
Herd 2108e,Heifer,2020-10-05,2021-10-06,1351356,366,lact_5+,NA,NA,NA,NA,NA to NA,ct_animals,7056
Herd 2108e,Heifer,2020-10-05,2021-10-06,1351356,366,lact_5+,NA,NA,NA,NA,NA to NA,ct_animal_time_periods,3692.2295081967213
Herd 2108e,LACT 1,2020-10-05,2021-10-06,518872,366,lact_5+,NA,NA,NA,NA,NA to NA,ct_animal_lactations,3014
Herd 2108e,LACT 1,2020-10-05,2021-10-06,518872,366,lact_5+,NA,NA,NA,NA,NA to NA,ct_animals,3014
Herd 2108e,LACT 1,2020-10-05,2021-10-06,518872,366,lact_5+,NA,NA,NA,NA,NA to NA,ct_animal_time_periods,1417.6830601092897
Herd 2108e,LACT 2,2020-10-05,2021-10-06,368777,366,lact_5+,NA,NA,NA,NA,NA to NA,ct_animal_lactations,2142
Herd 2108e,LACT 2,2020-10-05,2021-10-06,368777,366,lact_5+,NA,NA,NA,NA,NA to NA,ct_animals,2142
Herd 2108e,LACT 2,2020-10-05,2021-10-06,368777,366,lact_5+,NA,NA,NA,NA,NA to NA,ct_animal_time_periods,1007.5874316939891
Herd 2108e,LACT 3,2020-10-05,2021-10-06,203876,366,lact_5+,NA,NA,NA,NA,NA to NA,ct_animal_lactations,1240
Herd 2108e,LACT 3,2020-10-05,2021-10-06,203876,366,lact_5+,NA,NA,NA,NA,NA to NA,ct_animals,1240
Herd 2108e,LACT 3,2020-10-05,2021-10-06,203876,366,lact_5+,NA,NA,NA,NA,NA to NA,ct_animal_time_periods,557.0382513661202
Herd 2108e,LACT 4,2020-10-05,2021-10-06,96251,366,lact_5+,NA,NA,NA,NA,NA to NA,ct_animal_lactations,635
Herd 2108e,LACT 4,2020-10-05,2021-10-06,96251,366,lact_5+,NA,NA,NA,NA,NA to NA,ct_animals,635
Herd 2108e,LACT 4,2020-10-05,2021-10-06,96251,366,lact_5+,NA,NA,NA,NA,NA to NA,ct_animal_time_periods,262.9808743169399
